,Computador_para_internet,Tem_tablet,Internet_em_casa,V02323,Celular_para_internet,Tablet_para_internet,Tv_para_internet,Outros_para_internet,internet_3G/4G,internet_discada,internet_banda_larga
2,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim
3,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
5,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
8,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
10,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
11,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
15,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
18,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
19,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
20,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
28,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
29,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
31,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
32,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
33,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
42,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
43,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
44,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
45,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
50,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
74,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
80,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
87,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
93,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
112,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
116,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
124,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
139,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
140,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
143,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
161,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
167,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
175,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
176,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim
179,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
189,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
197,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim
207,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
229,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
230,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
232,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
237,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
240,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
243,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim
244,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
245,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
247,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
249,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
257,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
264,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
272,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
274,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não
277,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não
278,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
280,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não
284,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
294,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
297,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
298,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
303,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
304,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
306,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Sim
308,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
321,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
323,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
325,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
329,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
330,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
333,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
339,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
342,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
343,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
345,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
349,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
350,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
355,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
356,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
357,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
396,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
403,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
406,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim
411,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
412,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
421,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
422,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
427,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
440,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
445,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
453,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
455,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
480,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
484,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
489,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
493,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
525,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
535,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
536,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
