,V0226,V0227,V02270,V02271,V02272,V02273,V02274,V2027
2,4.0,3.0,,,,,,3.0
3,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
5,2.0,,0.0,2.0,3.0,1.0,1.0,3.0
8,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
10,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
11,2.0,,1.0,1.0,3.0,1.0,1.0,1.0
13,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
15,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
18,2.0,,3.0,0.0,1.0,1.0,1.0,3.0
19,2.0,,0.0,1.0,3.0,5.0,3.0,3.0
20,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
27,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
28,2.0,,2.0,0.0,1.0,1.0,1.0,1.0
29,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
31,2.0,,1.0,1.0,3.0,5.0,1.0,1.0
32,2.0,,1.0,1.0,3.0,3.0,1.0,3.0
33,2.0,,1.0,1.0,3.0,1.0,1.0,1.0
37,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
39,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
42,2.0,,1.0,1.0,3.0,1.0,1.0,3.0
43,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
44,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
45,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
50,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
72,4.0,3.0,,,,,,3.0
74,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
79,2.0,,2.0,0.0,1.0,1.0,1.0,3.0
80,2.0,,1.0,1.0,1.0,1.0,1.0,1.0
87,2.0,,0.0,1.0,3.0,5.0,1.0,1.0
93,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
112,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
116,2.0,,0.0,1.0,3.0,5.0,3.0,1.0
124,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
139,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
140,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
143,2.0,,1.0,3.0,3.0,1.0,3.0,1.0
160,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
161,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
167,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
175,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
176,2.0,,2.0,0.0,1.0,1.0,1.0,1.0
179,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
180,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
181,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
189,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
191,2.0,,1.0,1.0,3.0,1.0,1.0,1.0
197,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
207,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
229,2.0,,4.0,0.0,1.0,3.0,1.0,1.0
230,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
232,2.0,,2.0,0.0,3.0,3.0,1.0,1.0
237,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
240,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
243,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
244,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
245,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
247,2.0,,1.0,0.0,1.0,3.0,1.0,3.0
249,2.0,,1.0,1.0,3.0,1.0,1.0,1.0
257,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
264,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
272,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
274,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
277,2.0,,1.0,0.0,3.0,3.0,3.0,3.0
278,2.0,,2.0,0.0,1.0,1.0,1.0,1.0
280,2.0,,1.0,0.0,1.0,3.0,1.0,1.0
284,2.0,,2.0,0.0,3.0,3.0,1.0,1.0
285,2.0,,1.0,1.0,3.0,1.0,3.0,3.0
294,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
297,2.0,,1.0,0.0,1.0,3.0,1.0,1.0
298,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
303,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
304,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
306,4.0,3.0,,,,,,3.0
308,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
318,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
